"pp","age","gender","duration","consent","iphone","installed_whatsapp","installed_facebook","installed_messenger","installed_instagram","installed_snapchat","instructions_timer","attention_check","app","rating","timer","category"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","snapchat",-76,4.664,"low"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","snapchat1",-51,5.071,"high"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","weather",-32,4.335,"neutral"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","whatsapp",91,3.406,"low"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","whatsapp1",100,3.755,"high"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","calculator",-26,9.53,"neutral"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","clock",37,7.105,"neutral"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","facebook",-58,5.336,"low"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","facebook1",-21,9.736,"high"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","instagram",100,4.815,"low"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","instagram1",100,6.283,"high"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","messenger",-80,10.464,"low"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","messenger1",-17,5.186,"high"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","notes",61,9.225,"neutral"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","settings",25,7.283,"neutral"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","snapchat",80,5.055,"low"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","snapchat1",96,4.968,"high"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","weather",46,5.863,"neutral"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","whatsapp",29,4.886,"low"
"4",18,"Female",229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",60,"No","whatsapp1",24,8.568,"high"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","calculator",27,4.242,"neutral"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","clock",78,3.671,"neutral"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","facebook",21,5.194,"low"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","facebook1",33,3.179,"high"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","instagram",-81,5.314,"low"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","instagram1",-92,4.02,"high"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","messenger",-42,3.393,"low"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","messenger1",-32,6.332,"high"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","notes",64,3.939,"neutral"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","settings",-66,3.246,"neutral"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","snapchat",36,5.855,"low"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","snapchat1",57,12.325,"high"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","weather",88,4.449,"neutral"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","whatsapp",39,5.183,"low"
"5",22,"Male",149,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.065,"No","whatsapp1",48,3.894,"high"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","calculator",36,5.918,"neutral"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","clock",-54,2.398,"neutral"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","facebook",45,2.916,"low"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","facebook1",92,1.89,"high"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","instagram",100,1.848,"low"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","instagram1",100,2.287,"high"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","messenger",72,2.93,"low"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","messenger1",85,2.441,"high"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","notes",-100,2.22,"neutral"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","settings",-100,2.528,"neutral"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","snapchat",44,1.865,"low"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","snapchat1",100,1.647,"high"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","weather",28,4.167,"neutral"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","whatsapp",-81,3.019,"low"
"6",19,"Male",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.072,"No","whatsapp1",-76,3.677,"high"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","calculator",-100,3.673,"neutral"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","clock",-100,12.157,"neutral"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","facebook",35,3.156,"low"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","facebook1",26,6.041,"high"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","instagram",82,4.493,"low"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","instagram1",100,2.295,"high"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","messenger",35,6.441,"low"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","messenger1",70,6.933,"high"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","notes",-100,4.79,"neutral"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","settings",-100,3.522,"neutral"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","snapchat",-36,3.648,"low"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","snapchat1",61,3.928,"high"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","weather",-100,4.373,"neutral"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","whatsapp",-100,5.268,"low"
"7",23,"Female",142,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",25.722,"No","whatsapp1",100,3.382,"high"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","calculator",30,2.601,"neutral"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","clock",-18,3.372,"neutral"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","facebook",100,3.341,"low"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","facebook1",83,2.799,"high"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","instagram",23,2.873,"low"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","instagram1",77,1.961,"high"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","messenger",23,2.401,"low"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","messenger1",28,2.943,"high"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","notes",53,2.415,"neutral"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","settings",34,2.246,"neutral"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","snapchat",48,7.888,"low"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","snapchat1",40,1.696,"high"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","weather",47,2.188,"neutral"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","whatsapp",68,1.745,"low"
"8",21,"Male",132,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",42.135,"No","whatsapp1",91,2.192,"high"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","calculator",100,4.582,"neutral"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","clock",49,4.536,"neutral"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","facebook",-100,3.297,"low"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","facebook1",-100,2.501,"high"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","instagram",100,3.406,"low"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","instagram1",100,2.509,"high"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","messenger",-100,4.44,"low"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","messenger1",-100,2.531,"high"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","notes",100,3.556,"neutral"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","settings",100,2.628,"neutral"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","snapchat",-100,2.552,"low"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","snapchat1",-100,3.134,"high"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","weather",-100,3.2,"neutral"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","whatsapp",100,2.396,"low"
"9",25,"Female",130,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",30.47,"No","whatsapp1",100,2.3,"high"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","calculator",0,4.888,"neutral"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","clock",0,3.886,"neutral"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","facebook",47,3.764,"low"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","facebook1",55,4.033,"high"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","instagram",91,3.184,"low"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","instagram1",99,6.084,"high"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","messenger",76,2.775,"low"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","messenger1",83,2.921,"high"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","notes",10,3.74,"neutral"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","settings",-43,3.674,"neutral"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","snapchat",-66,5.089,"low"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","snapchat1",-26,4.044,"high"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","weather",6,4.541,"neutral"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","whatsapp",91,2.764,"low"
"10",24,"Female",143,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",27.431,"No","whatsapp1",92,3.351,"high"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","calculator",-21,8.789,"neutral"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","clock",-85,5.539,"neutral"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","facebook",54,5.857,"low"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","facebook1",46,4.838,"high"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","instagram",59,3.199,"low"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","instagram1",53,7.801,"high"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","messenger",35,4.269,"low"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","messenger1",35,7.477,"high"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","notes",32,4.838,"neutral"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","settings",-49,5.489,"neutral"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","snapchat",-72,5.122,"low"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","snapchat1",-68,2.891,"high"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","weather",42,3.758,"neutral"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","whatsapp",-47,4.864,"low"
"11",20,"Female",182,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.429,"No","whatsapp1",-45,4.015,"high"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","calculator",6,3.225,"neutral"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","clock",56,5.358,"neutral"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","facebook",82,5.532,"low"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","facebook1",97,3.193,"high"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","instagram",32,7.428,"low"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","instagram1",26,9.678,"high"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","messenger",69,6.581,"low"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","messenger1",79,5.06,"high"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","notes",-4,3.551,"neutral"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","settings",-6,3.599,"neutral"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","snapchat",42,3.627,"low"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","snapchat1",55,3.915,"high"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","weather",53,4.3,"neutral"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","whatsapp",67,3.068,"low"
"12",25,"Female",245,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",52.397,"No","whatsapp1",67,3.593,"high"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","calculator",-33,2.962,"neutral"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","clock",-67,3.167,"neutral"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","facebook",25,1.883,"low"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","facebook1",35,2.294,"high"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","instagram",85,3.806,"low"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","instagram1",93,4.685,"high"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","messenger",14,3.401,"low"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","messenger1",9,2.494,"high"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","notes",33,3.206,"neutral"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","settings",0,3.415,"neutral"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","snapchat",93,3.235,"low"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","snapchat1",100,3.451,"high"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","weather",-41,4.552,"neutral"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","whatsapp",78,3.575,"low"
"13",21,"Male",116,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",28.32,"No","whatsapp1",88,2.208,"high"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","calculator",-94,2.766,"neutral"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","clock",0,1.778,"neutral"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","facebook",100,1.76,"low"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","facebook1",100,5.579,"high"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","instagram",50,2.631,"low"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","instagram1",79,1.977,"high"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","messenger",0,2.31,"low"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","messenger1",100,5.101,"high"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","notes",0,1.805,"neutral"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","settings",-93,2.876,"neutral"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","snapchat",-39,3.728,"low"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","snapchat1",-53,1.998,"high"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","weather",-11,4.676,"neutral"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","whatsapp",50,2.197,"low"
"14",24,"Female",114,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",33.636,"No","whatsapp1",90,2.367,"high"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","calculator",16,3.503,"neutral"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","clock",5,4.376,"neutral"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","facebook",44,2.488,"low"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","facebook1",40,2.265,"high"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","instagram",61,4.402,"low"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","instagram1",64,2.59,"high"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","messenger",17,2.321,"low"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","messenger1",33,2.695,"high"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","notes",-38,5.173,"neutral"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","settings",0,3.121,"neutral"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","snapchat",-47,4.108,"low"
"15",25,"Female",129,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",26.467,"No","snapchat1",-36,2.783,"high"
