"pp","age","gender","duration","consent","iphone","installed_whatsapp","installed_facebook","installed_messenger","installed_instagram","installed_snapchat","instructions_timer","attention_check","app","rating","timer","category"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","calculator",-100,3.397,"neutral"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","clock",-83,3.725,"neutral"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","facebook",18,2.545,"low"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","facebook1",63,2.982,"high"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","instagram",73,2.7,"low"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","instagram1",54,6.057,"high"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","messenger",-20,2.301,"low"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","messenger1",24,2.268,"high"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","notes",-34,2.948,"neutral"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","settings",-72,3.593,"neutral"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","snapchat",33,8.175,"low"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","snapchat1",80,5.463,"high"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","weather",-6,6.05,"neutral"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","whatsapp",-50,3.15,"low"
"1",18,"Female",152,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",32.388,"No","whatsapp1",-35,4.268,"high"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","calculator",-100,2.853,"neutral"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","clock",100,3.838,"neutral"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","facebook",13,4.514,"low"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","facebook1",-42,2.088,"high"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","instagram",100,2.717,"low"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","instagram1",100,2.164,"high"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","messenger",37,1.878,"low"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","messenger1",-59,6.382,"high"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","notes",100,2.417,"neutral"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","settings",-27,5.527,"neutral"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","snapchat",-85,2.777,"low"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","snapchat1",-96,5.528,"high"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","weather",100,2.245,"neutral"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","whatsapp",-60,2.336,"low"
"2",20,"Female",115,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",23.136,"No","whatsapp1",26,2.715,"high"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","calculator",-29,3.862,"neutral"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","clock",86,5.057,"neutral"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","facebook",79,3.043,"low"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","facebook1",97,5.945,"high"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","instagram",100,5.606,"low"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","instagram1",100,2.255,"high"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","messenger",53,4.096,"low"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","messenger1",100,4.642,"high"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","notes",-73,3.5,"neutral"
"3",22,"Female",136,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",21.231,"No","settings",-61,2.723,"neutral"
