PP	Condition	UrgeApp	Icon	Response	Correct
1	1	22	Settings	Yes	1
1	1	22	Calculator	Yes	1
1	1	22	Skype	No	1
1	1	22	AppStore	No	1
1	1	22	Weather	Yes	1
1	1	22	E-Mail	No	1
1	1	22	Spotify	No	1
1	1	22	Instagram	Yes	1
1	1	22	Clock	Yes	1
1	1	22	Calendar	No	1
1	1	22	Contacts	No	1
1	1	22	Dropbox	No	1
1	1	22	iMessage	No	1
1	1	22	Twitter	No	1
1	1	22	WhatsApp	Yes	1
1	1	22	Facebook Messenger	Yes	1
1	1	22	Netflix	No	1
1	1	22	Facebook	Yes	1
1	1	22	Notes	No	0
1	1	22	Snapchat	Yes	1
2	1	50	Facebook	No	0
2	1	50	Calculator	Yes	1
2	1	50	Calendar	No	1
2	1	50	Dropbox	No	1
2	1	50	iMessage	No	1
2	1	50	AppStore	No	1
2	1	50	Twitter	No	1
2	1	50	Spotify	No	1
2	1	50	Snapchat	Yes	1
2	1	50	WhatsApp	Yes	1
2	1	50	Weather	Yes	1
2	1	50	E-Mail	No	1
2	1	50	Notes	Yes	1
2	1	50	Facebook Messenger	No	0
2	1	50	Skype	No	1
2	1	50	Clock	Yes	1
2	1	50	Contacts	No	1
2	1	50	Settings	Yes	1
2	1	50	Instagram	Yes	1
2	1	50	Netflix	No	1
3	0	0	Netflix	No	1
3	0	0	Contacts	No	1
3	0	0	Weather	Yes	1
3	0	0	Clock	No	0
3	0	0	Dropbox	No	1
3	0	0	Skype	No	1
3	0	0	Facebook	No	0
3	0	0	Settings	Yes	1
3	0	0	iMessage	Yes	0
3	0	0	Instagram	Yes	1
3	0	0	WhatsApp	Yes	1
3	0	0	Facebook Messenger	Yes	1
3	0	0	Calculator	Yes	1
3	0	0	E-Mail	Yes	0
3	0	0	Notes	Yes	1
3	0	0	AppStore	Yes	0
3	0	0	Spotify	No	1
3	0	0	Calendar	No	1
3	0	0	Twitter	No	1
3	0	0	Snapchat	Yes	1
4	0	10	Netflix	No	1
4	0	10	Notes	Yes	1
4	0	10	Skype	No	1
4	0	10	Facebook	Yes	1
4	0	10	Calendar	Yes	0
4	0	10	Clock	Yes	1
4	0	10	Facebook Messenger	Yes	1
4	0	10	Weather	Yes	1
4	0	10	Instagram	Yes	1
4	0	10	Dropbox	No	1
4	0	10	WhatsApp	Yes	1
4	0	10	AppStore	No	1
4	0	10	Snapchat	Yes	1
4	0	10	Spotify	No	1
4	0	10	Contacts	No	1
4	0	10	Calculator	Yes	1
4	0	10	Twitter	No	1
4	0	10	Settings	Yes	1
4	0	10	E-Mail	Yes	0
4	0	10	iMessage	Yes	0
5	1	51	Netflix	No	1
5	1	51	Weather	Yes	1
5	1	51	Snapchat	Yes	1
5	1	51	Contacts	No	1
5	1	51	WhatsApp	Yes	1
5	1	51	Skype	No	1
5	1	51	Spotify	No	1
5	1	51	Calendar	No	1
5	1	51	Twitter	No	1
5	1	51	Facebook Messenger	Yes	1
5	1	51	Calculator	Yes	1
5	1	51	Settings	Yes	1
5	1	51	Facebook	Yes	1
5	1	51	Dropbox	No	1
5	1	51	Instagram	Yes	1
5	1	51	iMessage	Yes	0
5	1	51	Notes	Yes	1
5	1	51	Clock	Yes	1
5	1	51	AppStore	No	1
5	1	51	E-Mail	Yes	0
6	1	68	Dropbox	No	1
6	1	68	Settings	Yes	1
6	1	68	AppStore	Yes	0
6	1	68	Spotify	No	1
6	1	68	Facebook	Yes	1
6	1	68	Instagram	Yes	1
6	1	68	Weather	No	0
6	1	68	Netflix	No	1
6	1	68	Facebook Messenger	No	0
6	1	68	Skype	No	1
6	1	68	WhatsApp	Yes	1
6	1	68	Calculator	Yes	1
6	1	68	iMessage	No	1
6	1	68	E-Mail	No	1
6	1	68	Snapchat	Yes	1
6	1	68	Notes	No	0
6	1	68	Contacts	Yes	0
6	1	68	Clock	Yes	1
6	1	68	Twitter	No	1
6	1	68	Calendar	No	1
7	1	68	Facebook	Yes	1
7	1	68	Snapchat	Yes	1
7	1	68	Calendar	Yes	0
7	1	68	Settings	Yes	1
7	1	68	Instagram	Yes	1
7	1	68	Twitter	No	1
7	1	68	Weather	Yes	1
7	1	68	Netflix	No	1
7	1	68	Dropbox	No	1
7	1	68	WhatsApp	Yes	1
7	1	68	AppStore	No	1
7	1	68	Notes	Yes	1
7	1	68	E-Mail	Yes	0
7	1	68	Spotify	No	1
7	1	68	Facebook Messenger	Yes	1
7	1	68	Calculator	Yes	1
7	1	68	Skype	No	1
7	1	68	iMessage	Yes	0
7	1	68	Contacts	No	1
7	1	68	Clock	Yes	1
8	0	18	AppStore	Yes	0
8	0	18	Dropbox	No	1
8	0	18	E-Mail	Yes	0
8	0	18	Facebook Messenger	Yes	1
8	0	18	Settings	Yes	1
8	0	18	Contacts	No	1
8	0	18	Calendar	Yes	0
8	0	18	Snapchat	Yes	1
8	0	18	Facebook	Yes	1
8	0	18	Netflix	No	1
8	0	18	Spotify	No	1
8	0	18	iMessage	Yes	0
8	0	18	Weather	Yes	1
8	0	18	Calculator	Yes	1
8	0	18	Instagram	Yes	1
8	0	18	Clock	Yes	1
8	0	18	Skype	No	1
8	0	18	Notes	Yes	1
8	0	18	WhatsApp	Yes	1
8	0	18	Twitter	No	1
9	1	63	Skype	No	1
9	1	63	E-Mail	Yes	0
9	1	63	Calculator	Yes	1
9	1	63	Facebook Messenger	Yes	1
9	1	63	Settings	Yes	1
9	1	63	Facebook	Yes	1
9	1	63	Clock	Yes	1
9	1	63	Dropbox	No	1
9	1	63	Netflix	No	1
9	1	63	Weather	Yes	1
9	1	63	Contacts	Yes	0
9	1	63	iMessage	No	1
9	1	63	Calendar	No	1
9	1	63	Instagram	Yes	1
9	1	63	AppStore	No	1
9	1	63	Spotify	No	1
9	1	63	Snapchat	Yes	1
9	1	63	WhatsApp	Yes	1
9	1	63	Notes	Yes	1
9	1	63	Twitter	No	1
10	1	62	Contacts	Yes	0
10	1	62	Dropbox	No	1
10	1	62	Calculator	Yes	1
10	1	62	Snapchat	Yes	1
10	1	62	Weather	Yes	1
10	1	62	WhatsApp	Yes	1
10	1	62	Notes	Yes	1
10	1	62	Netflix	No	1
10	1	62	Instagram	Yes	1
10	1	62	iMessage	No	1
10	1	62	Facebook Messenger	Yes	1
10	1	62	AppStore	No	1
10	1	62	Spotify	No	1
10	1	62	Calendar	Yes	0
10	1	62	Facebook	Yes	1
10	1	62	E-Mail	No	1
10	1	62	Settings	Yes	1
10	1	62	Clock	Yes	1
10	1	62	Twitter	No	1
10	1	62	Skype	No	1
11	0	1	Calculator	Yes	1
11	0	1	Twitter	Yes	0
11	0	1	AppStore	No	1
11	0	1	Contacts	No	1
11	0	1	Clock	Yes	1
11	0	1	Settings	Yes	1
11	0	1	Spotify	No	1
11	0	1	iMessage	Yes	0
11	0	1	Instagram	Yes	1
11	0	1	Dropbox	No	1
11	0	1	Snapchat	Yes	1
11	0	1	E-Mail	Yes	0
11	0	1	Facebook	Yes	1
11	0	1	WhatsApp	Yes	1
11	0	1	Skype	No	1
11	0	1	Notes	No	0
11	0	1	Netflix	No	1
11	0	1	Facebook Messenger	Yes	1
11	0	1	Calendar	Yes	0
11	0	1	Weather	Yes	1
12	0	16	Weather	No	0
12	0	16	Calculator	Yes	1
12	0	16	E-Mail	No	1
12	0	16	iMessage	Yes	0
12	0	16	Facebook Messenger	Yes	1
12	0	16	AppStore	No	1
12	0	16	Twitter	No	1
12	0	16	Snapchat	Yes	1
12	0	16	Netflix	No	1
12	0	16	Settings	Yes	1
12	0	16	Calendar	Yes	0
12	0	16	Spotify	No	1
12	0	16	Skype	No	1
12	0	16	Facebook	Yes	1
12	0	16	Notes	No	0
12	0	16	Contacts	No	1
12	0	16	Dropbox	No	1
12	0	16	Instagram	Yes	1
12	0	16	WhatsApp	Yes	1
12	0	16	Clock	Yes	1
13	1	62	Clock	Yes	1
13	1	62	Notes	Yes	1
13	1	62	Calculator	Yes	1
13	1	62	Skype	No	1
13	1	62	E-Mail	No	1
13	1	62	Netflix	No	1
13	1	62	Calendar	No	1
13	1	62	AppStore	No	1
13	1	62	Twitter	No	1
13	1	62	WhatsApp	Yes	1
13	1	62	Snapchat	Yes	1
13	1	62	Facebook	Yes	1
13	1	62	iMessage	No	1
13	1	62	Settings	Yes	1
13	1	62	Contacts	No	1
13	1	62	Instagram	Yes	1
13	1	62	Weather	Yes	1
13	1	62	Facebook Messenger	Yes	1
13	1	62	Spotify	No	1
13	1	62	Dropbox	No	1
14	0	0	Netflix	No	1
14	0	0	Settings	Yes	1
14	0	0	Dropbox	No	1
14	0	0	Facebook Messenger	Yes	1
14	0	0	Twitter	No	1
14	0	0	Clock	Yes	1
14	0	0	Instagram	Yes	1
14	0	0	Snapchat	Yes	1
14	0	0	Calculator	Yes	1
14	0	0	Spotify	No	1
14	0	0	AppStore	No	1
14	0	0	Facebook	Yes	1
14	0	0	Weather	Yes	1
14	0	0	iMessage	No	1
14	0	0	E-Mail	Yes	0
14	0	0	Notes	Yes	1
14	0	0	WhatsApp	Yes	1
14	0	0	Contacts	Yes	0
14	0	0	Skype	No	1
14	0	0	Calendar	Yes	0
15	0	6	Spotify	No	1
15	0	6	Weather	Yes	1
15	0	6	WhatsApp	Yes	1
15	0	6	Skype	No	1
15	0	6	Settings	Yes	1
15	0	6	E-Mail	No	1
15	0	6	Contacts	No	1
15	0	6	AppStore	No	1
15	0	6	Dropbox	No	1
15	0	6	Twitter	No	1
15	0	6	Facebook Messenger	Yes	1
15	0	6	Clock	Yes	1
15	0	6	Notes	Yes	1
15	0	6	Instagram	Yes	1
15	0	6	Facebook	Yes	1
15	0	6	iMessage	Yes	0
15	0	6	Netflix	No	1
15	0	6	Snapchat	Yes	1
15	0	6	Calculator	No	0
15	0	6	Calendar	No	1
16	0	13	AppStore	No	1
16	0	13	Calculator	Yes	1
16	0	13	Twitter	No	1
