PP	Condition	UrgeApp	Icon	Response	Correct
16	0	13	WhatsApp	Yes	1
16	0	13	E-Mail	Yes	0
16	0	13	Spotify	No	1
16	0	13	Calendar	No	1
16	0	13	iMessage	Yes	0
16	0	13	Notes	No	0
16	0	13	Netflix	No	1
16	0	13	Facebook Messenger	Yes	1
16	0	13	Facebook	Yes	1
16	0	13	Dropbox	No	1
16	0	13	Snapchat	Yes	1
16	0	13	Weather	Yes	1
16	0	13	Skype	No	1
16	0	13	Clock	Yes	1
16	0	13	Instagram	Yes	1
16	0	13	Settings	Yes	1
16	0	13	Contacts	No	1
17	1	75	iMessage	Yes	0
17	1	75	WhatsApp	Yes	1
17	1	75	Calculator	Yes	1
17	1	75	Skype	No	1
17	1	75	Facebook	Yes	1
17	1	75	Notes	Yes	1
17	1	75	Facebook Messenger	Yes	1
17	1	75	Spotify	No	1
17	1	75	Snapchat	Yes	1
17	1	75	Instagram	Yes	1
17	1	75	Clock	Yes	1
17	1	75	Settings	Yes	1
17	1	75	Contacts	No	1
17	1	75	Calendar	Yes	0
17	1	75	Netflix	No	1
17	1	75	AppStore	No	1
17	1	75	Twitter	No	1
17	1	75	E-Mail	No	1
17	1	75	Weather	No	0
17	1	75	Dropbox	No	1
18	1	71	iMessage	Yes	0
18	1	71	Instagram	Yes	1
18	1	71	Netflix	No	1
18	1	71	Facebook	Yes	1
18	1	71	Weather	Yes	1
18	1	71	Twitter	No	1
18	1	71	Settings	No	0
18	1	71	Snapchat	Yes	1
18	1	71	Calculator	Yes	1
18	1	71	Notes	No	0
18	1	71	Clock	No	0
18	1	71	AppStore	No	1
18	1	71	Dropbox	No	1
18	1	71	Spotify	No	1
18	1	71	Skype	No	1
18	1	71	E-Mail	No	1
18	1	71	Calendar	No	1
18	1	71	Contacts	No	1
18	1	71	WhatsApp	Yes	1
18	1	71	Facebook Messenger	Yes	1
19	1	66	Clock	Yes	1
19	1	66	WhatsApp	Yes	1
19	1	66	Weather	Yes	1
19	1	66	AppStore	No	1
19	1	66	iMessage	No	1
19	1	66	E-Mail	No	1
19	1	66	Contacts	No	1
19	1	66	Dropbox	No	1
19	1	66	Facebook Messenger	No	0
19	1	66	Twitter	No	1
19	1	66	Notes	Yes	1
19	1	66	Snapchat	Yes	1
19	1	66	Facebook	Yes	1
19	1	66	Calendar	No	1
19	1	66	Netflix	No	1
19	1	66	Settings	Yes	1
19	1	66	Spotify	No	1
19	1	66	Instagram	Yes	1
19	1	66	Skype	No	1
19	1	66	Calculator	Yes	1
20	1	43	Twitter	No	1
20	1	43	iMessage	No	1
20	1	43	Instagram	Yes	1
20	1	43	Skype	No	1
20	1	43	Settings	Yes	1
20	1	43	Facebook Messenger	Yes	1
20	1	43	Snapchat	Yes	1
20	1	43	WhatsApp	Yes	1
20	1	43	Facebook	Yes	1
20	1	43	Calendar	No	1
20	1	43	Netflix	No	1
20	1	43	Notes	Yes	1
20	1	43	Weather	No	0
20	1	43	E-Mail	No	1
20	1	43	AppStore	No	1
20	1	43	Calculator	Yes	1
20	1	43	Spotify	No	1
20	1	43	Dropbox	No	1
20	1	43	Contacts	No	1
20	1	43	Clock	Yes	1
21	0	59	Settings	Yes	1
21	0	59	Facebook Messenger	Yes	1
21	0	59	Facebook	Yes	1
21	0	59	Calculator	Yes	1
21	0	59	Spotify	No	1
21	0	59	Calendar	Yes	0
21	0	59	Netflix	No	1
21	0	59	Snapchat	Yes	1
21	0	59	WhatsApp	Yes	1
21	0	59	Skype	No	1
21	0	59	AppStore	Yes	0
21	0	59	Twitter	No	1
21	0	59	Dropbox	No	1
21	0	59	iMessage	Yes	0
21	0	59	Instagram	Yes	1
21	0	59	E-Mail	No	1
21	0	59	Notes	Yes	1
21	0	59	Clock	No	0
21	0	59	Weather	Yes	1
21	0	59	Contacts	Yes	0
22	0	0	Snapchat	Yes	1
22	0	0	Netflix	No	1
22	0	0	Notes	Yes	1
22	0	0	Facebook Messenger	Yes	1
22	0	0	iMessage	No	1
22	0	0	Dropbox	No	1
22	0	0	Twitter	No	1
22	0	0	E-Mail	Yes	0
22	0	0	WhatsApp	Yes	1
22	0	0	Facebook	Yes	1
22	0	0	Contacts	No	1
22	0	0	Calculator	No	0
22	0	0	AppStore	Yes	0
22	0	0	Skype	No	1
22	0	0	Spotify	Yes	0
22	0	0	Instagram	Yes	1
22	0	0	Weather	Yes	1
22	0	0	Calendar	Yes	0
22	0	0	Settings	Yes	1
22	0	0	Clock	Yes	1
23	1	85	Clock	Yes	1
23	1	85	Skype	No	1
23	1	85	Spotify	No	1
23	1	85	Dropbox	No	1
23	1	85	E-Mail	No	1
23	1	85	Notes	Yes	1
23	1	85	Calendar	No	1
23	1	85	Facebook Messenger	Yes	1
23	1	85	Settings	Yes	1
23	1	85	Facebook	Yes	1
23	1	85	Netflix	No	1
23	1	85	Twitter	No	1
23	1	85	Snapchat	Yes	1
23	1	85	Weather	No	0
23	1	85	Calculator	No	0
23	1	85	Contacts	No	1
23	1	85	iMessage	No	1
23	1	85	WhatsApp	Yes	1
23	1	85	AppStore	Yes	0
23	1	85	Instagram	Yes	1
24	1	29	Facebook	Yes	1
24	1	29	Settings	Yes	1
24	1	29	iMessage	Yes	0
24	1	29	Calendar	No	1
24	1	29	Skype	No	1
24	1	29	Contacts	No	1
24	1	29	Netflix	No	1
24	1	29	Spotify	No	1
24	1	29	WhatsApp	Yes	1
24	1	29	Dropbox	No	1
24	1	29	E-Mail	No	1
24	1	29	Calculator	No	0
24	1	29	Facebook Messenger	Yes	1
24	1	29	AppStore	No	1
24	1	29	Snapchat	Yes	1
24	1	29	Notes	Yes	1
24	1	29	Weather	Yes	1
24	1	29	Instagram	Yes	1
24	1	29	Twitter	No	1
24	1	29	Clock	Yes	1
25	1	61	AppStore	No	1
25	1	61	Notes	Yes	1
25	1	61	Twitter	No	1
25	1	61	Skype	No	1
25	1	61	Contacts	No	1
25	1	61	WhatsApp	Yes	1
25	1	61	Instagram	Yes	1
25	1	61	Spotify	No	1
25	1	61	Calculator	Yes	1
25	1	61	Snapchat	Yes	1
25	1	61	Settings	Yes	1
25	1	61	Netflix	No	1
25	1	61	Weather	Yes	1
25	1	61	Clock	Yes	1
25	1	61	Dropbox	No	1
25	1	61	Facebook Messenger	No	0
25	1	61	Calendar	Yes	0
25	1	61	E-Mail	No	1
25	1	61	Facebook	No	0
25	1	61	iMessage	No	1
26	1	8	Calculator	No	0
26	1	8	Snapchat	Yes	1
26	1	8	Instagram	Yes	1
26	1	8	Twitter	No	1
26	1	8	Clock	Yes	1
26	1	8	Spotify	No	1
26	1	8	Calendar	No	1
26	1	8	E-Mail	No	1
26	1	8	iMessage	No	1
26	1	8	Notes	No	0
26	1	8	Skype	No	1
26	1	8	Netflix	No	1
26	1	8	AppStore	No	1
26	1	8	Settings	No	0
26	1	8	Contacts	No	1
26	1	8	Dropbox	No	1
26	1	8	Weather	No	0
26	1	8	Facebook	Yes	1
26	1	8	Facebook Messenger	No	0
26	1	8	WhatsApp	Yes	1
27	0	0	Settings	Yes	1
27	0	0	Facebook Messenger	Yes	1
27	0	0	Contacts	No	1
27	0	0	Clock	Yes	1
27	0	0	Instagram	Yes	1
27	0	0	Notes	Yes	1
27	0	0	Calculator	Yes	1
27	0	0	Facebook	No	0
27	0	0	WhatsApp	Yes	1
27	0	0	Spotify	No	1
27	0	0	Snapchat	No	0
27	0	0	Weather	No	0
27	0	0	Netflix	No	1
27	0	0	iMessage	No	1
27	0	0	E-Mail	No	1
27	0	0	Twitter	No	1
27	0	0	AppStore	No	1
27	0	0	Skype	No	1
27	0	0	Dropbox	No	1
27	0	0	Calendar	No	1
28	0	5	Facebook	Yes	1
28	0	5	Dropbox	No	1
28	0	5	Contacts	Yes	0
28	0	5	Netflix	No	1
28	0	5	Clock	Yes	1
28	0	5	Weather	Yes	1
28	0	5	Settings	Yes	1
28	0	5	Instagram	Yes	1
28	0	5	Twitter	No	1
28	0	5	Snapchat	Yes	1
28	0	5	Facebook Messenger	Yes	1
28	0	5	AppStore	No	1
28	0	5	Calendar	No	1
28	0	5	Calculator	Yes	1
28	0	5	iMessage	No	1
28	0	5	Skype	No	1
28	0	5	E-Mail	No	1
28	0	5	Spotify	Yes	0
28	0	5	Notes	Yes	1
28	0	5	WhatsApp	Yes	1
29	0	77	Skype	No	1
29	0	77	Notes	Yes	1
29	0	77	Calculator	Yes	1
29	0	77	Facebook	Yes	1
29	0	77	iMessage	No	1
29	0	77	Twitter	No	1
29	0	77	WhatsApp	Yes	1
29	0	77	Calendar	Yes	0
29	0	77	AppStore	No	1
29	0	77	Dropbox	No	1
29	0	77	Clock	Yes	1
29	0	77	Settings	Yes	1
29	0	77	Instagram	Yes	1
29	0	77	E-Mail	Yes	0
29	0	77	Snapchat	Yes	1
29	0	77	Weather	Yes	1
29	0	77	Spotify	No	1
29	0	77	Netflix	No	1
29	0	77	Contacts	Yes	0
29	0	77	Facebook Messenger	Yes	1
30	1	40	Snapchat	Yes	1
30	1	40	Calculator	Yes	1
30	1	40	Contacts	No	1
30	1	40	Clock	Yes	1
30	1	40	Skype	No	1
30	1	40	Facebook	Yes	1
30	1	40	Netflix	No	1
30	1	40	Settings	No	0
30	1	40	AppStore	Yes	0
30	1	40	Weather	Yes	1
30	1	40	Facebook Messenger	No	0
30	1	40	Calendar	No	1
30	1	40	iMessage	No	1
30	1	40	E-Mail	No	1
30	1	40	Spotify	No	1
30	1	40	Dropbox	No	1
30	1	40	WhatsApp	Yes	1
30	1	40	Notes	Yes	1
30	1	40	Instagram	Yes	1
30	1	40	Twitter	No	1
31	1	50	Snapchat	Yes	1
31	1	50	AppStore	No	1
31	1	50	Netflix	No	1
31	1	50	Notes	Yes	1
31	1	50	Facebook Messenger	Yes	1
31	1	50	E-Mail	No	1
31	1	50	Settings	Yes	1
31	1	50	Calendar	No	1
31	1	50	Dropbox	No	1
31	1	50	Facebook	Yes	1
31	1	50	iMessage	No	1
31	1	50	Calculator	Yes	1
31	1	50	Skype	No	1
31	1	50	WhatsApp	Yes	1
31	1	50	Spotify	No	1
31	1	50	Instagram	Yes	1
31	1	50	Weather	Yes	1
31	1	50	Clock	Yes	1
31	1	50	Contacts	No	1
31	1	50	Twitter	No	1
32	1	59	E-Mail	No	1
32	1	59	Calculator	Yes	1
32	1	59	Contacts	No	1
32	1	59	Skype	No	1
32	1	59	Facebook	Yes	1
32	1	59	Settings	Yes	1
32	1	59	Notes	Yes	1
32	1	59	WhatsApp	Yes	1
32	1	59	Weather	Yes	1
32	1	59	Snapchat	Yes	1
32	1	59	Clock	Yes	1
32	1	59	Instagram	Yes	1
32	1	59	Twitter	No	1
32	1	59	AppStore	No	1
32	1	59	Calendar	No	1
32	1	59	Dropbox	No	1
32	1	59	Netflix	No	1
32	1	59	Spotify	No	1
32	1	59	Facebook Messenger	Yes	1
32	1	59	iMessage	No	1
33	0	16	Weather	Yes	1
33	0	16	iMessage	Yes	0
33	0	16	WhatsApp	Yes	1
33	0	16	Dropbox	No	1
33	0	16	Twitter	No	1
33	0	16	Clock	Yes	1
33	0	16	Settings	Yes	1
33	0	16	Calendar	No	1
33	0	16	Spotify	No	1
33	0	16	Snapchat	Yes	1
33	0	16	Skype	No	1
33	0	16	Notes	No	0
33	0	16	Calculator	Yes	1
33	0	16	Netflix	No	1
33	0	16	Facebook	Yes	1
33	0	16	AppStore	No	1
33	0	16	E-Mail	No	1
33	0	16	Instagram	Yes	1
33	0	16	Contacts	No	1
33	0	16	Facebook Messenger	Yes	1
34	0	77	Calculator	Yes	1
34	0	77	Notes	No	0
34	0	77	Facebook	Yes	1
34	0	77	AppStore	No	1
34	0	77	Skype	No	1
34	0	77	Contacts	No	1
34	0	77	Facebook Messenger	No	0
34	0	77	Instagram	Yes	1
34	0	77	Netflix	No	1
34	0	77	Settings	Yes	1
34	0	77	E-Mail	No	1
34	0	77	Spotify	No	1
34	0	77	Dropbox	Yes	0
34	0	77	Weather	No	0
34	0	77	Snapchat	Yes	1
34	0	77	WhatsApp	Yes	1
34	0	77	Twitter	No	1
34	0	77	iMessage	No	1
34	0	77	Calendar	Yes	0
34	0	77	Clock	Yes	1
35	0	61	Instagram	Yes	1
35	0	61	Facebook	Yes	1
35	0	61	Calendar	Yes	0
35	0	61	E-Mail	Yes	0
35	0	61	Clock	Yes	1
35	0	61	AppStore	Yes	0
35	0	61	Weather	Yes	1
35	0	61	Spotify	No	1
35	0	61	Calculator	Yes	1
35	0	61	WhatsApp	Yes	1
35	0	61	Facebook Messenger	Yes	1
35	0	61	Skype	No	1
35	0	61	Contacts	No	1
35	0	61	Dropbox	No	1
35	0	61	Twitter	Yes	0
35	0	61	Snapchat	Yes	1
35	0	61	iMessage	Yes	0
35	0	61	Notes	No	0
35	0	61	Netflix	No	1
35	0	61	Settings	Yes	1
36	0	0	Clock	Yes	1
36	0	0	Calendar	Yes	0
36	0	0	WhatsApp	Yes	1
36	0	0	Notes	No	0
36	0	0	Netflix	No	1
36	0	0	iMessage	No	1
36	0	0	Twitter	No	1
36	0	0	Snapchat	No	0
36	0	0	Skype	No	1
36	0	0	Facebook Messenger	No	0
36	0	0	AppStore	No	1
36	0	0	Dropbox	No	1
36	0	0	E-Mail	No	1
36	0	0	Facebook	Yes	1
36	0	0	Spotify	No	1
36	0	0	Instagram	No	0
36	0	0	Settings	Yes	1
36	0	0	Contacts	No	1
36	0	0	Calculator	No	0
36	0	0	Weather	No	0
37	1	89	Contacts	Yes	0
37	1	89	Skype	No	1
37	1	89	Instagram	Yes	1
37	1	89	iMessage	Yes	0
37	1	89	Snapchat	Yes	1
37	1	89	Calculator	Yes	1
37	1	89	Netflix	No	1
37	1	89	WhatsApp	Yes	1
37	1	89	Facebook Messenger	No	0
37	1	89	Calendar	Yes	0
37	1	89	E-Mail	No	1
37	1	89	Notes	Yes	1
37	1	89	Weather	Yes	1
37	1	89	AppStore	No	1
37	1	89	Dropbox	No	1
37	1	89	Twitter	Yes	0
37	1	89	Spotify	Yes	0
37	1	89	Facebook	Yes	1
37	1	89	Clock	Yes	1
37	1	89	Settings	Yes	1
38	1	36	E-Mail	No	1
38	1	36	Calendar	No	1
38	1	36	Spotify	No	1
38	1	36	Clock	Yes	1
38	1	36	iMessage	Yes	0
38	1	36	WhatsApp	Yes	1
38	1	36	Contacts	No	1
38	1	36	Instagram	No	0
38	1	36	Calculator	Yes	1
38	1	36	Netflix	No	1
38	1	36	Facebook Messenger	Yes	1
38	1	36	Dropbox	No	1
38	1	36	Twitter	No	1
38	1	36	Notes	Yes	1
38	1	36	AppStore	Yes	0
38	1	36	Skype	No	1
38	1	36	Snapchat	Yes	1
38	1	36	Facebook	Yes	1
38	1	36	Settings	Yes	1
38	1	36	Weather	Yes	1
39	1	28	Snapchat	Yes	1
39	1	28	Contacts	No	1
39	1	28	AppStore	No	1
39	1	28	WhatsApp	Yes	1
39	1	28	Calculator	Yes	1
39	1	28	Twitter	No	1
39	1	28	Calendar	No	1
39	1	28	Skype	No	1
39	1	28	Clock	Yes	1
39	1	28	Spotify	No	1
39	1	28	Instagram	Yes	1
39	1	28	Weather	Yes	1
39	1	28	iMessage	No	1
39	1	28	E-Mail	No	1
39	1	28	Netflix	No	1
39	1	28	Dropbox	No	1
39	1	28	Facebook Messenger	No	0
39	1	28	Notes	Yes	1
39	1	28	Settings	Yes	1
39	1	28	Facebook	Yes	1
40	0	0	Snapchat	Yes	1
40	0	0	Spotify	No	1
40	0	0	Settings	Yes	1
40	0	0	Calculator	Yes	1
40	0	0	WhatsApp	Yes	1
40	0	0	Facebook Messenger	Yes	1
40	0	0	Netflix	No	1
40	0	0	Facebook	Yes	1
40	0	0	Instagram	Yes	1
40	0	0	Twitter	No	1
40	0	0	Weather	Yes	1
40	0	0	AppStore	No	1
40	0	0	Clock	Yes	1
40	0	0	Contacts	No	1
40	0	0	Skype	No	1
40	0	0	Dropbox	No	1
40	0	0	Calendar	No	1
40	0	0	iMessage	Yes	0
40	0	0	E-Mail	No	1
40	0	0	Notes	Yes	1
41	1	1	Calendar	Yes	0
41	1	1	AppStore	No	1
41	1	1	Snapchat	Yes	1
41	1	1	Notes	No	0
41	1	1	Calculator	Yes	1
41	1	1	Spotify	No	1
41	1	1	Weather	Yes	1
41	1	1	Twitter	No	1
41	1	1	Instagram	Yes	1
41	1	1	iMessage	No	1
41	1	1	Facebook	Yes	1
41	1	1	Contacts	No	1
41	1	1	Netflix	No	1
41	1	1	Skype	No	1
41	1	1	E-Mail	No	1
41	1	1	WhatsApp	Yes	1
41	1	1	Dropbox	No	1
41	1	1	Settings	Yes	1
41	1	1	Facebook Messenger	Yes	1
41	1	1	Clock	Yes	1
42	1	62	Clock	Yes	1
42	1	62	Snapchat	Yes	1
42	1	62	Twitter	No	1
42	1	62	E-Mail	No	1
42	1	62	Spotify	No	1
42	1	62	Calendar	Yes	0
42	1	62	Instagram	Yes	1
42	1	62	Notes	Yes	1
42	1	62	Skype	No	1
42	1	62	iMessage	No	1
42	1	62	Dropbox	No	1
42	1	62	Netflix	No	1
42	1	62	Calculator	Yes	1
42	1	62	AppStore	No	1
42	1	62	Settings	Yes	1
42	1	62	Facebook Messenger	Yes	1
42	1	62	Contacts	No	1
42	1	62	Facebook	Yes	1
42	1	62	WhatsApp	Yes	1
42	1	62	Weather	Yes	1
43	1	35	Facebook Messenger	Yes	1
43	1	35	Facebook	Yes	1
43	1	35	Dropbox	No	1
43	1	35	Clock	No	0
43	1	35	Contacts	Yes	0
43	1	35	Skype	No	1
43	1	35	AppStore	Yes	0
43	1	35	Spotify	No	1
43	1	35	Netflix	No	1
43	1	35	WhatsApp	Yes	1
43	1	35	iMessage	No	1
43	1	35	Weather	Yes	1
43	1	35	E-Mail	No	1
43	1	35	Settings	Yes	1
43	1	35	Notes	No	0
43	1	35	Calculator	Yes	1
43	1	35	Snapchat	Yes	1
43	1	35	Instagram	Yes	1
